text,label
No me gusta cómo huele este puto lugar.,1
La primavera es mi estación favorita.,0
Eres un huevón por no haber venido a la fiesta.,1
La playa es mi lugar feliz.,0
Estoy harto de tus putas excusas.,1
No puedo esperar para ver la nueva película de terror.,0
Este clima es una puta locura.,1
eres bueno,0
Me encanta pasar tiempo con mi familia.,0
¿Quién coño se cree que es?,1
El café de este lugar es delicioso.,0
No me digas qué cojones hacer.,1
Me gusta correr en el parque por la mañana.,0
No seas un cabrón y trata a la gente con respeto.,1
El cielo está despejado y azul hoy.,0
No me importa una mierda lo que pienses.,1
Me encanta el olor de las flores en primavera.,0
No seas un puto cobarde y enfrenta tus problemas.,1
La comida de este restaurante es deliciosa.,0
Este trabajo es una mierda estoy harto.,1
La música de este concierto fue increíble.,0
No me gusta cómo huele este puto lugar.,1
eres alguien importante,0
Disfruto de leer en mi tiempo libre.,0
Eres un huevón por no haber venido a la fiesta.,1
La puesta de sol en la playa es hermosa.,0
Estoy harto de tus putas excusas.,1
El libro que leí ayer fue interesante.,0
Este clima es una puta locura.,1
Eres un dios,0
Me encanta ver películas en mi tiempo libre.,0
¿Quién coño te crees que eres?,1
El té de este lugar es delicioso.,0
No me digas qué cojones hacer.,1
Me gusta caminar por el parque en la mañana.,0
No seas un cabrón y trata a la gente con respeto.,1
La cena que tuvimos anoche fue deliciosa.,0
Este trabajo es una maldita pesadilla.,1
No me gusta cómo suena esa puta música.,1
Disfruto de hacer ejercicio en el gimnasio.,0
Eres un maldito imbécil por hacer eso.,1
Me encanta ir al cine con mis amigos.,0
No me hables con esa puta actitud.,1
La comida casera es la mejor.,0
No seas un malparido y haz lo que se te pide.,1
Mierda,1
Carajo,1
Joder,1
Coño,1
Puta,1
Puto,1
Culo,1
Cabrón,1
Cabrona,1
Cagada,1
Verga,1
Chingar,1
Chingada,1
Maldita,1
Malparido,1
Maricón,1
Marica,1
Hostia,1
Ostia,1
Gilipollas,1
Pendejo,1
Huevón,1
Huevona,1
Picha,1
Pene,1
Come ahora.,0
Vamos a divertirnos.,0
Hoy es un gran día.,0
Las frutas son ricas.,0
Vamos a comer.,0
Veamos el sol salir.,0
Comamos pizza.,0
Ven pronto.,0
Esa tarea fue fácil.,0
Caminemos juntos.,0
El sol brilla hoy.,0
Ojalá el mañana sea mejor.,0
Vamos a jugar.,0
Come temprano.,0
Vamos al parque.,0
Sal a caminar.,0
Vamos adelante,0
Ve y hazlo.,0
Veamos el futuro.,0
Vamos a divertirnos,0
Caminando por el parque respiré el aire puro.,0
Hoy es un buen día.,0
Vamos a avanzar.,0
Vamos a bailar,0
Vamos a jugar.,0
Las cosas buenas llegan a quienes esperan.,0
Caminemos juntos.,0
Caminemos juntos.,0
Fueron a la playa.,0
Ve y sonríe.,0
Sal a caminar.,0
Vamos a caminar.,0
Ve al parque.,0
Vamos a empezar.,0
Come ahora.,0
Come temprano.,0
Vamos a la playa.,0
Come ahora.,0
Come temprano.,0
Vete ahora mismo.,0
Espero que todo mejore pronto.,0
Corre y salta.,0
Ve y hazlo.,0
Es hora de comenzar.,0
Vamos a jugar al futbol.,0
Vamos bailando.,0
Sal a caminar.,0
Vamos a caminar,0
Vamos a la playa.,0
Veamos que pasa.,0
¿Cuándo nos vemos?,0
¿Qué tal si salimos a caminar este fin de semana?,0
¿Quieres venir a mi casa esta tarde?,0
¿Qué tal la clase hoy?,0
¿Qué tal te fue en el examen?,0
¿Cuándo te ves libre para quedar?,0
¿Cómo has estado?,0
¿Qué estás haciendo?,0
¿Qué estás haciendo hoy?,0
¿Qué tal te fue hoy?,0
¿Qué tal tu día?,0
¿Qué tal te fue el examen?,0
¿Cuándo nos vemos?,0
¿Qué hiciste hoy?,0
¿Qué tal tu día?,0
¿Quién te contó eso?,0
¿Qué planes tienes para el fin de semana?,0
¿Qué tal el día?,0
¿Cuándo nos vemos?,0
¿Cómo estás hoy?,0
¿Cómo te ha ido hoy?,0
¿Qué estás haciendo?,0
¿Qué tal te fue el día?,0
¿Cómo estás hoy?,0
¿Qué tal si salimos mañana?,0
Hola ¿Cómo estás?,0
¿Qué hiciste hoy?,0
¿Vamos al parque?,0
¿Qué tal te fue el día?,0
¿Cómo estás?,0
¿Cómo estás?,0
¿Qué tal te fue en el examen?,0
¿De donde vienes?,0
¿Quieres quedar para tomar algo mañana?,0
¿Cómo te fue en la clase de hoy?,0
¿Qué hiciste hoy?,0
¿Cómo estás?,0
¿Cómo te fue en el examen?,0
¿Qué vas a hacer este fin de semana?,0
¿Qué tal te fue con el examen?,0
¿Qué tal si salimos a comer?,0
¿Qué tal te fue en el examen?,0
¿Qué tal tu dia?,0
¿Qué tal si salimos a caminar por el parque?,0
¿Qué tal te ha ido hoy?,0
¿En que horario nos vemos mañana?,0
¿Vamos al parque mañana?,0
¿Qué tal si salimos esta noche?,0
¿Por qué no quedamos esta tarde?,0
¿Cómo está tu día?,0
Ojala te atormente el diablo,1
No seas tan cabrón!,1
¡Qué te jodan!,1
Oye cabrón ¿que te pasa?,1
"No seas grosero, no quiero hablar contigo",1
¡Vete a la mierda ya mismo!,1
¡Vete a la mierda!,1
¡Eres un cabrón!,1
"No me jodas, te estoy diciendo que te vayas.",1
"Oye cabrón, ¿te has vuelto loco?",1
No te voy a dejar tranquilo pendejo,1
¡Vete a la mierda ya!,1
No me jodas hijoputa,1
No me jodas que no tengo ganas de discutir,1
"¡No me jodas, cállate ya!",1
"¿Qué pasa viejo, qué coño estás haciendo?",1
No me jodas ¡que te crees!,1
A ver si te enteras de una vez que te dije que no quiero verte ni en pintura,1
¡Vete a la mierda ya!,1
¡Vete a la mier**!,1
¿Qué onda? Me parece que estás puteando,1
¡Vete a la mierda!,1
"¿Qué te pasa tío, te has vuelto loco o qué?",1
No me jodas!,1
¡Vete a la mierda!,1
Oye idiota ¿por qué no te callas?,1
"Oye qué pedo, por qué me tienes en la madre",1
"¿Qué pasa wey, te crees el mero mero?",1
¡Que te jodan!,1
"¿Qué te pasa, acabas de sacar una puta mierda?",1
No mames wey eres un pinche idiota,1
¡Vete a la mierda!,1
"Eres un imbécil, no te mereces nada",1
"¡Cállate ya de una vez, imbécil!",1
Oye ¿no me vas a decir algo mejor que eso?,1
No me vengas con esas tonterías que los malditos no sabemos nada.,1
¿Qué te pasa pendejo?,1
"¿Qué te pasa wey, te pusiste bien cabrón?",1
"Oye tío, ¿Qué coño estás haciendo?",1
"Oye qué pedo, ¿te la pasas hablando madres o qué?",1
"No me jodas macho, estoy harto de tu actitud",1
"¿Qué te pasa viejo, te gusta ser un gilipollas?",1
"¡Oye, qué pedo güey!",1
No me jodas puto,1
"No seas tan grosero, no quiero que me hables así.",1
"¡A la mierda su madre, quédate ahí quieto que te voy a partir la cara!",1
No seas tan grosero ¡No me hables así!,1
"Oye cabron, ¿qué te pasa?",1
"No me jodas, estoy harto de tus tonterías.",1
¡Mueve el culo ya!,1
Dime donde estas ahorita para ir a darte una paliza por hablar tan mal!,1
"Oye cabrón, ¿qué te crees?",1
-¿Qué pedo wey?,1
Oye pinche mocoso ¿a dónde te crees que vas?,1
Oye cabron ¿que te pasa?,1
¡Vete a la mierda ya mismo!,1
Oye que te pasa que andas tan malhumorado no te pongas así,1
No me jodas gilipollas,1
"¡Uy que vergüenza! ¡No mamita, no me llames así que eso no está bien!",1
Vete a la mierda ya mismo,1
¿Qué hiciste ayer? Eres un gilipollas de mierda.,1
"""¡Vete a la mierda!"" dijo él.",1
"¡No me jodas, ponte las pilas!",1
Oye vete a la mierda ya mismo,1
¡Vete a la mierda ya mismo!,1
Oye cabron supleta que te he dicho,1
Oye cabrón tienes que hacerlo ahora mismo,1
"Qué pasa pana, ¿ya te estás cagando de risa?",1
Eres un maldito idiota,1
¡Vete a la mierda!,1
¿Cómo te atreves a decirme eso? ¡Vete a la mierda!,1
¡Bájate de la cresta y apártate de mi camino antes de que te meta una patada en el trasero!,1
¡Vete al diablo!,1
No me vengas con tus chingaderas.,1
Eres un cabronazo bocazas,1
"¿Qué te pasa, eres una mierda?",1
Oye mamón abre bien la oreja y escucha lo que te digo,1
¡Vete a la mierda!,1
"¡No me jodas, cabron!",1
"Oye que estas diciendo, ja no te vayas a pasar de listo",1
¡Eres un hijo de puta!,1
No me jodas que no te voy a consentir.,1
¡Cállate ya y vete al diablo!,1
No me jodas que ya estoy hasta la coronilla.,1
Oye cabrón ¿quieres levantarte o qué?,1
"¿Qué te pasa, eres un cabrón?",1
Oye cabrón no me pongas esa cara,1
¡Vete a la mierda!,1
Jodete ya que siempre me tomas el pelo.,1
¡No me jodas!,1
"No me jodas, no quiero verte nunca más.",1
Oye qué te pasa que te comportas como un imbécil,1
"No me jodas, cabron.",1
No me jodas pedazo de imbécil,1
¿Qué onda cabrón? Estás bien?,1
¡Vete a la mierda!,1
Oye qué pedo wey ¿por qué andas con ese rollo de mierda?,1
"""Hijo de puta, ¿qué te crees?""",1
¿Qué onda cabrón? ¿Cómo andas?,1
No me jodas que me cabreo,1
"Que pedo wey, ¿ya llegaste?",1
Oye cabrón ¿qué pasa?,1
¡No te jodas!,1
Vete a la mierda,1
"Oye no te vayas de la lengua, que no me gusta que hables así de mí.",1
Hijo de puta vete de aquí ya mismo,1
"Vete a la mierda, ya no quiero hablar contigo",1
Mira puto ya te dije que no quiero verte ni hablar contigo,1
¡Vete a la mierda ya!,1
Ayer te dije que me ibas a devolver el dinero y aún no lo has hecho ¡Devuélvemelo ya cabrón!,1
¡Vamos a joder a la gente!,1
¡No me jodas!,1
¡Eres un cabrón!,1
No te metas en esto que no te va a salir bien hijo de puta,1
"¡Cállate la boca, no seas grosero!",1
Te odio tanto que voy a reventarte la madre,1
¡Ay puto qué mal me caes!,1
Oye cabron ¿que te pasa?,1
Anda a tomar por culo,1
¿Qué te pasa? Estás bien cabrón,1
"¡No me jodas, chaval!",1
Ponte la mierda y vete.,1
Oye no me vengas con esas weas que siempre dices,1
"No seas grosero, no quiero escuchar esas palabrotas",1
¡Chupamela!,1
¿Qué te pasa mequetrefe? ¿Estás enojado?,1
¡Vete a la mierda ya mismo!,1
Eres un hijo de puta maleducado ¡No te vuelvo a hablar!,1
"""No seas maleducado, habla con respeto""",1
¡Vete a la mierda ya mismo!,1
"""Vete a la mierda!""",1
¿Cómo te atreves a hablarme así? ¡Vete a la mierda!,1
No te metas en mi asunto pendejo,1
¡Vete a la mierda!,1
No me jodas me cago en tu puta madre,1
Me estas cagando la vida,1
¡Cállate la boca!,1
"¡Oye, qué pedo cabrón!",1
¡No me vengas con esas gilipolleces!,1
Oye pendejo te parece que estas chingando bien,1
No me jodas que te jodan a ti,1
"Oye imbécil, ¿qué te crees?",1
Oye pendejo quien crees que eres,1
¡Vete al carajo!,1
Oye qué pedo que no me respondes ya te dije que me pinches ya,1
¡Que cagada de malparido!,1
Oye cabrón ¿donde estas?,1
No me jodas carajo,1
¡Qué pedo chinga tu madre!,1
No me jodas puto,1
Me encanta hablar contigo,0
Estaré en casa en media hora,0
Eso esta bien,0
No entiendo que quieres decir,0
Te espero a las seis en el parque,0
No puedo esperar para vernos mañana,0
No te preocupes yo lo solucionare,0
No me gusta que te comportes de esta manera,0
Te quiero mucho,0
Ella me dijo que me amaba,0
Eso suena increible,0
He tenido un dia dificil,0
Me gusta tu sonrisa,0
yo tambien te quiero,0
Te extraño mucho,0
Hola me alegro de verte,0
Te extraño mucho,0
Te espero afuera,0
Te extraño mucho,0
Voy a terminar este trabajo hoy mismo.,0
No te preocupes ya me encargaré de organizarlo,0
Te espero en el parque mañana a las 00,0
No puedo esperar para verte,0
Gracias por toda tu ayuda,0
No te preocupes yo lo hago,0
Vamos a salir esta noche,0
Qué tal si salimos a cenar hoy,0
Vamos al cine esta noche,0
Me gusto mucho la fiesta anoche,0
Veo que te apasiona el arte,0
Me encantó pasar el rato contigo,0
No tengo tiempo para hablar ahora,0
Siento que estamos perdiendo la conexión,0
Me gustaria pasar un rato contigo,0
Me encantaria que quedemos esta noche,0
Te quiero mucho,0
No te preocupes te llamo en un rato,0
Vamos a celebrar el dia de la amistad,0
Me encantan tus fotos,0
Hicimos un viaje inolvidable,0
Me gusta estar contigo,0
Juan te espero mañana para salir,0
¡Hola suerte en el examen!,0
Vamos a salir esta noche,0
No quiero que me vean llorar,0
Trabajamos para conseguir nuestros sueños,0
Te quiero mucho,0
Me encanta verte sonreir,0
No puedo salir hoy,0
Vamos a la playa esta tarde,0
No puedo creer lo que acaba de suceder,0
No puedo creerlo,0
Hola como te ha ido hoy,0
Me gusta mucho estar contigo,0
No te voy a mentir me gusta mucho,0
Solo queria decirte que te extraño mucho,0
Espero verte pronto,0
De nada te servira si no trabajas duro,0
Te invito a salir esta noche,0
No te preocupes ya arregle todo,0
Mira he comprado los boletos para el concierto esta noche,0
No te preocupes ya me encargo yo,0
Me encanta estar contigo,0
Vamos a salir esta noche,0
Te quiero mucho,0
Vamos a la playa,0
Te extraño mucho,0
No sabia que ibas a venir hoy,0
No te preocupes yo te ayudo con eso,0
No me interesa saber lo que pienses,0
Sí te veo en el supermercado paso a saludarte,0
Hola como estas,0
Estaré listo para el jueves,0
Ahora tengo que salir,0
Te extraño mucho,0
Gracias por invitarme a tu fiesta fue muy divertido.,0
No me gusta cuando me tratas asi,0
No te preocupes ya lo arreglo mañana,0
Hola que tal como te fue hoy,0
No hay problema te espero a las ocho,0
Hola que tal como estas,0
Sé que te encanta el helado,0
Ven mañana a la biblioteca nos vemos,0
Te quiero mucho,0
Te acaba de decir que no te quiere,0
Te quiero mucho,0
Me gusto mucho la pelicula que vimos anoche,0
Eso es una buena noticia,0
Vamos a la playa esta tarde.,0
Vamos a la pelicula,0
Hola como estas,0
Te quiero mucho,0
Hola que tal estas,0
Me encanta estar contigo,0
Ella me dijo que hoy es el mejor día para salir,0
Quiero verte pronto,0
Hola como estas,0
Mi amigo te extraño mucho,0
Me encantaria salir a caminar contigo,0
Vamos a la plaza esta tarde,0
matar,1
